Month,Fidesz: (Hungary)
2004-01,0
2004-02,18
2004-03,0
2004-04,24
2004-05,8
2004-06,28
2004-07,12
2004-08,0
2004-09,0
2004-10,7
2004-11,14
2004-12,9
2005-01,10
2005-02,16
2005-03,11
2005-04,18
2005-05,9
2005-06,9
2005-07,9
2005-08,7
2005-09,8
2005-10,15
2005-11,17
2005-12,11
2006-01,17
2006-02,27
2006-03,58
2006-04,100
2006-05,19
2006-06,14
2006-07,10
2006-08,19
2006-09,49
2006-10,50
2006-11,17
2006-12,10
2007-01,11
2007-02,16
2007-03,18
2007-04,10
2007-05,11
2007-06,11
2007-07,8
2007-08,10
2007-09,11
2007-10,19
2007-11,7
2007-12,7
2008-01,8
2008-02,12
2008-03,21
2008-04,8
2008-05,8
2008-06,8
2008-07,6
2008-08,6
2008-09,9
2008-10,9
2008-11,8
2008-12,7
2009-01,9
2009-02,9
2009-03,21
2009-04,15
2009-05,15
2009-06,19
2009-07,9
2009-08,6
2009-09,8
2009-10,12
2009-11,11
2009-12,12
2010-01,18
2010-02,31
2010-03,40
2010-04,68
2010-05,28
2010-06,23
2010-07,17
2010-08,21
2010-09,22
2010-10,19
2010-11,11
2010-12,11
2011-01,10
2011-02,10
2011-03,11
2011-04,10
2011-05,8
2011-06,7
2011-07,7
2011-08,6
2011-09,8
2011-10,8
2011-11,8
2011-12,8
2012-01,12
2012-02,7
2012-03,9
2012-04,8
2012-05,6
2012-06,6
2012-07,5
2012-08,5
2012-09,7
2012-10,7
2012-11,6
2012-12,6
2013-01,7
2013-02,7
2013-03,10
2013-04,9
2013-05,8
2013-06,6
2013-07,7
2013-08,6
2013-09,9
2013-10,8
2013-11,7
2013-12,8
2014-01,11
2014-02,15
2014-03,17
2014-04,30
2014-05,10
2014-06,9
2014-07,8
2014-08,9
2014-09,11
2014-10,18
2014-11,9
2014-12,8
2015-01,7
2015-02,8
2015-03,6
2015-04,6
2015-05,5
2015-06,5
2015-07,4
2015-08,4
2015-09,5
2015-10,5
2015-11,6
2015-12,8
2016-01,4
2016-02,6
2016-03,6
2016-04,5
2016-05,5
2016-06,4
2016-07,4
2016-08,5
2016-09,6
2016-10,6
2016-11,5
2016-12,5
2017-01,5
2017-02,6
2017-03,6
2017-04,9
2017-05,6
2017-06,5
2017-07,4
2017-08,5
2017-09,6
2017-10,6
2017-11,8
2017-12,6
2018-01,9
2018-02,13
2018-03,23
2018-04,40
2018-05,7
2018-06,5
2018-07,5
2018-08,5
2018-09,6
2018-10,6
2018-11,6
2018-12,10
2019-01,7
2019-02,8
2019-03,12
2019-04,10
2019-05,14
2019-06,7
2019-07,6
2019-08,8
2019-09,11
2019-10,16
2019-11,6
2019-12,6
2020-01,6
2020-02,6
2020-03,6
2020-04,7
2020-05,6
2020-06,6
2020-07,7
2020-08,5
2020-09,6
2020-10,6
2020-11,6
2020-12,13
2021-01,6
2021-02,7
2021-03,11
2021-04,7
2021-05,7
2021-06,7
2021-07,7
2021-08,5
2021-09,10
2021-10,9
2021-11,8
2021-12,7
2022-01,9
2022-02,14
2022-03,19
2022-04,27
2022-05,6
2022-06,5
2022-07,7
2022-08,6
2022-09,6
2022-10,6
2022-11,5
2022-12,5
2023-01,6
2023-02,5
2023-03,6
2023-04,5
2023-05,6
2023-06,6
2023-07,6
2023-08,6
2023-09,7
2023-10,5
2023-11,9
2023-12,5
2024-01,8
2024-02,14
2024-03,10
2024-04,15
2024-05,15
